seller_id,TotalFreightCost,TotalShipments
85d9eb9ddc5d00ca9336a2219c97bb13,8432.67,512
77530e9772f57a62c906e1c21538ab82,8274.71,381
1900267e848ceeba8fa32d80c1a5f5a8,8039.97,523
dbc22125167c298ef99da25668e1011f,7787.43,417
4d6d651bd7684af3fffabd5f08d12e5a,7786.76,389
7ddcbb64b5bc1ef36ca8c151f6ec77df,7767.09,334
8160255418d5aaa7dbdc9f4c64ebda44,7727.29,424
855668e0971d4dfd7bef1b6a4133b41b,7559.34,311
218d46b86c1881d022bce9c68a7d4b15,7452.64,420
87142160b41353c4e5fca2360caf6f92,7218.33,339
4e922959ae960d389249c378d1c939f5,7147.18,446
25c5c91f63607446a97b143d2d535d31,6945.92,266
0241d4d5d36f10f80c644447315af0bd,6853.91,246
7142540dd4c91e2237acb7e911c4eba2,6843.74,328
7299e27ed73d2ad986de7f7c77d919fa,6804.49,358
712e6ed8aa4aa1fa65dab41fed5737e4,6764.82,85
1554a68530182680ad5c8b042c3ab563,6734.92,267
897060da8b9a21f655304d50fd935913,6517.82,413
b2ba3715d723d245138f291a6fe42594,6294.47,350
ceaec5548eefc6e23e6607c5435102e7,6175.55,206
c3cfdc648177fdbbbb35635a37472c53,6079.63,307
37be5a7c751166fbc5f8ccba4119e043,6021.21,278
7e93a43ef30c4f03f38b393420bc753a,5992.06,322
9f505651f4a6abe901a56cdc21508025,5949.75,426
2138ccb85b11a4ec1e37afbd1c8eda1f,5902.67,419
634964b17796e64304cadf1ad3050fb7,5900,323
70a12e78e608ac31179aea7f8422044b,5523.72,323
c826c40d7b19f62a09e2d7c5e7295ee2,5443.63,365
16090f2ca825584b5a147ab24aa30c86,5404.86,406
d1c281d3ae149232351cd8c8cc885f0d,5380.07,239
0dd184061fb0eaa7ca37932c68ab91c5,5319.5,193
a3a38f4affed601eb87a97788c949667,5184.66,260
ccc4bbb5f32a6ab2b7066a4130f114e3,5174.62,189
ef506c96320abeedfb894c34db06f478,5092.3,332
17e34d8224d27a541263c4c64b11a56b,5090.21,260
88460e8ebdecbfecb5f9601833981930,4938.19,300
729f06993dac8e860d4f02d7088ca48a,4913.09,113
59b22a78efb79a4797979612b885db36,4897.57,133
92eb0f42c21942b6552362b9b114707d,4845.63,358
c003204e1ab016dfa150abc119207b24,4714.17,200
fe2032dab1a61af8794248c8196565c9,4710.89,305
c3867b4666c7d76867627c2f7fb22e21,4693.3,241
522620dcb18a6b31cd7bdf73665113a9,4583.17,178
e9bc59e7b60fc3063eb2290deda4cced,4538.73,260
dc4a0fc896dc34b0d5bfec8438291c80,4492.08,242
fa40cc5b934574b62717c68f3d678b6d,4482.53,337
7178f9f4dd81dcef02f62acdf8151e01,4385.04,215
c33847515fa6305ce6feb1e818569f13,4374.41,128
4c2b230173bb36f9b240f2b8ac11786e,4354.14,343
f7ba60f8c3f99e7ee4042fdef03b70c4,4317.94,229
7aa4334be125fcdd2ba64b3180029f14,4317.57,237
834f3294fba9f932f56edc879193f925,4299.92,66
0ea22c1cfbdc755f86b9b54b39c16043,4231.98,265
562fc2f2c2863ab7e79a9e4388a58a14,4224.96,265
1da3aeb70d7989d1e6d9b0e887f97c23,4175.52,324
f5a590cf36251cf1162ea35bef76fe84,4134.18,118
1a3df491d1c4f1589fc2b934ada68bf2,4078.23,171
0c8380b62e38e8a1e6adbeba7eb9688c,4071.75,218
79ebd9a61bac3eaf882805ed4ecfa12a,3947.43,140
86ccac0b835037332a596a33b6949ee1,3905.61,208
c70c1b0d8ca86052f45a432a38b73958,3901.41,336
edb1ef5e36e0c8cd84eb3c9b003e486d,3886.24,174
76d5af76d0271110f9af36c92573f765,3787.06,155
701938c450705b8ae65fc923b70f35c7,3771.6,111
41b39e28db005d9731d9d485a83b4c38,3757.77,223
8f2ce03f928b567e3d56181ae20ae952,3756.6,172
710e3548e02bc1d2831dfc4f1b5b14d4,3742.66,137
2528513dd95219a6013d4d05176e391a,3740.77,166
f457c46070d02cadd8a68551231220dd,3650.71,230
0b90b6df587eb83608a64ea8b390cf07,3598.18,209
dc317f341ab0e22f39acbd9dbf9b4a1f,3581.73,58
76d64c4aca3a7baf218bf93ef7fa768d,3543.49,69
12b9676b00f60f3b700e83af21824c0e,3525.67,133
004c9cd9d87a3c30c522c48c4fc07416,3524.29,168
7ad32824caee82087b3e2e5f33b1bf32,3477.7,180
813348c996469b40f2e028d5429d3495,3457.7,195
37515688008a7a40ac93e3b2e4ab203f,3396.65,239
213b25e6f54661939f11710a6fddb871,3381.01,190
54a1852d1b8f10312c55e906355666ee,3361.57,202
cfb1a033743668a192316f3c6d1d2671,3361.16,179
4b9750c8ad28220fe6702d4ecb7c898f,3358.45,221
669ae81880e08f269a64487cfb287169,3351.33,185
d94a40fd42351c259927028d163af842,3347.57,109
5656537e588803a555b8eb41f07a944b,3324.29,185
ca3bd7cd9f149df75950150d010fe4a2,3318.89,135
8d956fec2e4337affcb520f56fd8cbfd,3313.85,227
e5a3438891c0bfdb9394643f95273d8e,3280.74,247
f45122a9ab94eb4f3f8953578bc0c560,3279.19,197
2a84855fd20af891be03bc5924d2b453,3276.72,159
d98eec89afa3380e14463da2aabaea72,3256.78,183
6d66611d7c44cc30ce351abc49a68421,3216.66,174
66922902710d126a0e7d26b0e3805106,3197.63,155
95e03ca3d4146e4011985981aeb959b9,3189.3,190
00ee68308b45bc5e2660cd833c3f81cc,3180.66,172
44073f8b7e41514de3b7815dd0237f4f,3138.85,151
7040e82f899a04d1b434b795a43b4617,3123.26,223
850f4f8af5ea87287ac68de36e29107f,3097.35,191
ce7d1888639e6fb06b2749cbfdac1ff7,3082.65,84
2eb70248d66e0e3ef83659f71b244378,3056.01,197
1c129092bf23f28a5930387c980c0dfc,3021.57,219
4830e40640734fc1c52cd21127c341d4,3011.92,212
5058e8c1e82653974541e83690655b4a,3008.63,77
5cf13accae3222c70a9cac40818ae839,3002.88,155
eeb6de78f79159600292e314a77cbd18,2996.05,83
1b4c3a6f53068f0b6944d2d005c9fc89,2976.49,115
32b8764b4ef628b53608fc34011fcc13,2970.42,38
ac3508719a1d8f5b7614b798f70af136,2964.52,101
a7f13822ceb966b076af67121f87b063,2962.74,84
7008613ea464bad5cb9b83456e1e6a8f,2949.34,152
04308b1ee57b6625f47df1d56f00eedf,2948.82,92
b32be1695eb7ec5f10f72d9610a12527,2937.68,45
a416b6a846a11724393025641d4edd5e,2935.56,176
f80edd2c5aaa505cc4b0a3b219abf4b8,2935.12,125
50c9975695009e5e6473912e83a6d1da,2919.55,68
0bae85eb84b9fb3bd773911e89288d54,2907,145
febab0275244b9a49a623f0bd613ca2f,2906.49,126
6edacfd9f9074789dad6d62ba7950b9c,2905.88,216
1c68394e931a64f90ea236c5ea590300,2896.41,171
2e90cb1677d35cfe24eef47d441b7c87,2887.45,137
7e1fb0a3ebfb01ffb3a7dae98bf3238d,2883.09,169
e26901d5ab434ce92fd9b5c256820a4e,2880.13,215
dd7ddc04e1b6c2c614352b383efe2d36,2876.57,142
a3e9a2c700480d9bb01fba070ba80a0e,2869.03,143
7681ef142fd2c19048da7430856b5588,2862.86,76
e882b2a25a10b9c057cc49695f222c19,2856.22,58
48436dade18ac8b2bce089ec2a041202,2840.9,147
cab85505710c7cb9b720bceb52b01cee,2827.39,204
4e7c18b98d84e05cbae3ff0ff03846c2,2823.46,88
9c0e69c7bf2619675bbadf47b43f655a,2823.42,200
cbd996ad3c1b7dc71fd0e5f5df9087e2,2771.94,189
d23019c84ffae2d5ef2270367b8605fc,2749.74,39
01fdefa7697d26ad920e9e0346d4bd1b,2730.26,130
70eea00b476a314817cefde4aad4f89a,2724.91,112
259f7b5e6e482c230e5bfaa670b6bb8f,2694.28,162
1e8b33f18b4f7598d87f5cbee2282cc2,2690.51,139
609e1a9a6c2539919b8205cf7c4e6ff0,2687.19,130
6c7d50c24b3ccd2fd83b44d8bb34e073,2677.83,126
80e6699fe29150b372a0c8a1ebf7dcc8,2667.15,98
5a8e7d5003a1f221f9e1d6e411de7c23,2666.7,179
b33e7c55446eabf8fe1a42d037ac7d6d,2656.38,152
de23c3b98a88888289c6f5cc1209054a,2646.19,178
bfd27a966d91cfaafdb25d076585f0da,2636.41,115
530ec6109d11eaaf87999465c6afee01,2597.05,101
fffd5413c0700ac820c7069d66d98c89,2590.3,58
aac29b1b99776be73c3049939652091d,2569.62,131
a673821011d0cec28146ea42f5ab767f,2562.04,141
9b013e03b2ab786505a1d3b5c0756754,2556.28,220
6cd68b3ed6d59aaa9fece558ad360c0a,2529.89,157
7d76b645482be4a332374e8223836592,2522.03,183
e2aee0892199b1d92530e371abd825bf,2516.11,39
0be8ff43f22e456b4e0371b2245e4d01,2508.49,175
8b28d096634035667e8263d57ba3368c,2507.74,151
b499c00f28f4b7069ff6550af8c1348a,2503.6,182
b4ffb71f0cb1b1c3d63fad021ecf93e1,2501.75,164
537eb890efff034a88679788b647c564,2475.54,171
2c9e548be18521d1c43cde1c582c6de8,2456.53,171
f262cbc1c910c83959f849465454ddd3,2455.04,204
640e21a7d01df7614a3b4923e990d40c,2431.66,136
aafe36600ce604f205b86b5084d3d767,2421.8,131
b92e3c8f9738272ff7c59e111e108d7c,2414.21,70
3b15288545f8928d3e65a8f949a28291,2400.06,118
0adac9fbd9a2b63cccaac4f8756c1ca8,2397.9,134
1f9ab4708f3056ede07124aad39a2554,2379.72,77
98dac6635aee4995d501a3972e047414,2379.6,190
5343d0649eca2a983820bfe93fc4d17e,2375.07,110
c31eff8334d6b3047ed34bebd4d62c36,2359.24,121
17ca9b9e9b9ef8fdb529001b49ebb50f,2348.96,128
6039e27294dc75811c0d8a39069f52c0,2334.72,74
900ba814c251a692506d7834c1218441,2334.43,86
2e1c9f22be269ef4643f826c9e650a52,2321.28,167
aaed1309374718fdd995ee4c58c9dfcd,2314.28,111
612170e34b97004b3ba37eae81836b4c,2307.06,110
229c3efbfb0ea2058de4ccdfbc3d784a,2300.71,145
ef0ace09169ac090589d85746e3e036f,2299.38,139
00fc707aaaad2d31347cf883cd2dfe10,2285.09,135
b76dba6c951ab00dc4edf0a1aa88037e,2282.03,167
8a32e327fe2c1b3511609d81aaf9f042,2237.74,169
31344c16881c08a8a72c6d2eb29918c1,2208.55,42
b2479f944e1b90cf8a5de1bbfde284d6,2207.7,129
5d0363b33554b373851fc1622e4d5f3c,2175.48,94
ad781527c93d00d89a11eecd9dcad7c1,2173.49,38
8e6cc767478edae941d9bd9eb778d77a,2169.26,108
080102cd0a76b09e0dcf55fcacc60e05,2160.83,128
cd68562d3f44870c08922d380acae552,2160.16,129
e59aa562b9f8076dd550fcddf0e73491,2160.07,82
ce27a3cc3c8cc1ea79d11e561e9bebb6,2154.67,151
6a8b085f816a1f75f92dbac6eb545f8f,2154.05,133
06e5eefc71ec47ae763c5c6f8db7064f,2151.65,93
b1fc4f64df5a0e8b6913ab38803c57a9,2146.25,121
431af27f296bc6519d890aa5a05fdb11,2128.45,124
f3b80352b986ab4d1057a4b724be19d0,2126.26,91
f62d7bb4a613ec758a03342d46b580b2,2125.59,32
8c16d1f32a54d92897cc437244442e1b,2112.07,118
c9c7905cffc4ef9ff9f113554423e671,2109.53,139
b14db04aa7881970e83ffa9426897925,2104.5,105
972d0f9cf61b499a4812cf0bfa3ad3c4,2100.73,86
1d8dbc4f32378d715c717c1c1fc57bae,2085.15,97
54965bbe3e4f07ae045b90b0b8541f52,2076.26,81
289cdb325fb7e7f891c38608bf9e0962,2075.52,125
db4350fd57ae30082dec7acbaacc17f9,2064.7,145
527801b552d0077ffd170872eb49683b,2062.56,92
2dee2ce60de9709b1a24083217181a1f,2060.06,55
7722b1df1b0e383e000397b2c11e3e19,2059.48,144
36a968b544695394e4e9d7572688598f,2053.23,156
440dd6ab244315c632130ecfb63827b1,2046.68,92
3db66a856d18a9cba7c9241fc5221c50,2044.36,97
48162d548f5b1b11b9d29d1e01f75a61,2042.44,89
2a261b5b644fa05f4f2700eb93544f2c,2041.73,82
d6b1ce66b035a475f00c017792ff9769,2038.48,108
23613d49c3ac2bd302259e55c06c050c,2034.04,79
e8f6dc8e6a1dcde89d20e3995c8d90b3,2016.8,44
59fb871bf6f4522a87ba567b42dafecf,2013.58,125
0db783cfcd3b73998abc6e10e59a102f,1999.15,137
e9d99831abad74458942f21e16f33f92,1993.58,149
dd2bdf855a9172734fbc3744021ae9b9,1992.01,110
ff063b022a9a0aab91bad2c9088760b7,1984.77,96
8a432f4e5b471f8da497d7dc517666e2,1965.11,106
8444e55c1f13cd5c179851e5ca5ebd00,1964.71,102
01cf7e3d21494c41fb86034f2e714fa1,1964.45,65
b8bc237ba3788b23da09c0f1f3a3288c,1935.45,47
d50d79cb34e38265a8649c383dcffd48,1932.26,70
f84a00e60c73a49e7e851c9bdca3a5bb,1931.1,97
688756f717c462a206ad854c5027a64a,1908.05,99
ce248b21cb2adc36282ede306b7660e5,1895.01,65
18a349e75d307f4b4cc646a691ed4216,1890.66,128
33a6f4b1e7cdc205511e76ba1b6e0186,1888.9,126
05f51e13da97139648b8125c31e5f51b,1888.65,60
adbc26658d6c7b4b6219f9d934598091,1885.85,92
e5a38146df062edaf55c38afa99e42dc,1885.54,124
744dac408745240a2c2528fb1b6028f3,1877.8,83
7a241947449cc45dbfda4f9d0798d9d0,1874.98,66
282f23a9769b2690c5dda22e316f9941,1866.77,109
56e361f411e38dcef17cdc2a3d99628b,1857.76,10
8bb48dc19fccaa8613b6229bf7f452a2,1857.4,95
fc906263ca5083d09dce42fe02247800,1855.38,117
c864036feaab8c1659f65ea4faebe1da,1845.57,58
9e6229250fedbe05838fef417b74e7fb,1834.96,77
ececbfcff9804a2d6b40f589df8eef2b,1834.31,103
2b1a40c1daabc6ca280c4b815c101841,1833.14,33
822166ed1e47908f7cfb49946d03c726,1821.12,108
3be634553519fb6536a03e1358e9fdc7,1803.73,95
3c7c4a49ec3c6550809089c6a2ca9370,1796.46,158
81a1104df0f08b59c68aa5b03cfe398e,1794.45,72
dbdd0ec73a4817971d962698f2fea022,1790.8,16
5c243662ce92d84573bfaff24c3e3700,1775.64,100
1127b7f2594683f2510f1c2c834a486b,1768.7,128
dfa0c4c6229ab200a4a1336b4d7128ff,1767.11,86
9616352088dcf83a7c06637f4ebf1c80,1766.7,97
d921b68bf747894be13a97ae52b0f386,1758.01,77
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,1754.4,20
34056b8b55c1775a22af2331670a799c,1751.51,77
05ff92fedb5be47920fea08e501238b9,1747.89,60
9596c870880d900012f2e8e6e30d06d7,1746.36,23
a49928bcdf77c55c6d6e05e09a9b4ca5,1726.92,104
ccb83a794700270fde70898fe9ff368b,1723.73,12
9de4643a8dbde634fe55621059d92273,1722.07,81
3df020b72d3d44b3af9d110fa3940b65,1709.57,101
624f4ece8da4aafb77699233d480f8ef,1705.55,54
f46490624488d3ff7ce78613913a7711,1693.41,87
1da366cade6d8276e7d8beea7af5d4bf,1688.01,48
25e6ffe976bd75618accfe16cefcbd0d,1687.18,115
8e6d7754bc7e0f22c96d255ebda59eba,1685.97,129
11bfa66332777660bd0640ee84d47006,1682.67,102
670c26e0f1bf8d0576271d5cfaec6d2b,1680.37,86
05d2173d43ea568aa0540eba70d2ca76,1679.27,66
9d5a9018aee56acb367ba9c3f05d1d6a,1671.41,78
dee656f0f566ed1aa85bd137c943f08f,1670.99,94
8b9d6eec4a7eb7d0f9d579ce0b38324d,1667.3,52
bd0389da23d89b726abf911cccc54596,1656.31,90
066a6914e1ebf3ea95a216c73a986b91,1655.18,72
e8b3a3a38279a82f0e5d006d5e5b7d2c,1645.81,85
8cbac7e12637ed9cffa18c7875207478,1640.73,81
ebd2d60905fb58271facef5596b620d3,1637.38,85
7ea5bfa6c340f58f8e71fc1f0412b0d6,1631.85,102
0d85bbda9889ce1f7e63778d24f346eb,1624.5,58
165fc07beebdcb6190fba8a06db2a449,1600.03,64
827f8f69dfa529c561901c4f2e0f332f,1595.57,104
f27e33c6d29b5138fa9967bcd445b6d5,1593.95,98
d673a59aac7a70d8b01e6902bf090a11,1590.62,84
dbb9b48c841a0e39e21f98e1a6b2ec3e,1581.41,118
b1a81260566c1bac3114a6d124413f27,1565.51,54
95f83f51203c626648c875dd41874c7f,1554.14,65
b6d44737c043328708f6749c2dbe50bd,1549.41,79
6b243f80ed07b10f0e8aa0f21a205f3c,1547.3,89
dbd66278cbfe1aa1000f90a217ca4695,1543.87,99
cac4c8e7b1ca6252d8f20b2fc1a2e4af,1530.51,82
09f952a5f58d2285b0372551ae8f9b01,1524.96,56
1ca7077d890b907f89be8c954a02686a,1522.01,127
1336efc61c316ddf92c899eb817f7cae,1517.98,85
f4aba7c0bca51484c30ab7bdc34bcdd1,1515.23,115
9d4db00d65d7760644ac0c14edb5fd86,1509.59,99
d20b021d3efdf267a402c402a48ea64b,1504.96,102
966cb4760537b1404caedd472cc610a5,1504.31,67
0691148aee60ca47977c187804f935ae,1490.94,53
6860153b69cc696d5dcfe1cdaaafcf62,1490.6,84
c8b0e2b0a7095e5d8219575d5e7e1181,1487.13,85
0df3984f9dfb3d49ac6366acbd3bbb85,1483.05,88
4371b634e0efc0e22b09b52907d9d469,1477.01,111
82e0a475a88cc9595229d8029273f045,1468.38,79
b4f8921fcc4ff77b66bea6dda43dcd51,1468.36,20
7d456afc660226829370f3173d14520c,1461.28,89
0b35c634521043bf4b47e21547b99ab5,1455.14,77
70c27847eca8195c983ed7e798c56743,1451.66,98
8ae520247981aa06bc94abddf5f46d34,1445.35,65
11305281b50fff20ae8bb473f8e11876,1444.51,40
516e7738bd8f735ac19a010ee5450d8d,1442.5,82
3ade81dab5a172b88e1871c28ae05260,1437.99,30
e333046ce6517bd8bb510291d44f0130,1431.32,74
94144541854e298c2d976cb893b81343,1429.37,76
08633c14ef2db992c11f840f04fad4cd,1424.52,97
06579cb253ecd5a3a12a9e6eb6bf8f47,1420.57,70
8648b1e89e9b349e32d3741b30ec737e,1420.27,100
238fac594e170b59c6d228f5a4f4f1d9,1419.52,30
7e3f87d16fb353f408d467e74fbd8014,1415.28,93
d1b65fc7debc3361ea86b5f14c68d2e2,1410.15,40
0509040ea3fe50071181bbc359eb7738,1409.9,96
cc63f0dd2acba93ffed4fe9f8e0321fa,1399.97,63
bd23da7354813347129d751591d1a6e2,1384.56,87
3078096983cf766a32a06257648502d1,1370.25,61
821fb029fc6e495ca4f08a35d51e53a5,1365.55,25
951e8cef368f09bb3f3d03c00ca4702c,1360.23,69
2ff97219cb8622eaf3cd89b7d9c09824,1359.6,94
a5cba26a62b8b4d0145b68b841e62e7f,1346.93,54
4a3ccda38b2129705f3fb522db62ca31,1339.72,73
725c32fa80c2faacc4fc88450d27314e,1327.78,93
f0b47fbbc6dee9aafe415a6e33051b3f,1320.98,85
f7720c4fa8e3aba4546301ab80ea1f1b,1317.24,77
bbad7e518d7af88a0897397ffdca1979,1314.92,84
75d34ebb1bd0bd7dde40dd507b8169c3,1313.44,67
ba90964cff9b9e0e6f32b23b82465f7b,1311,38
ba143b05f0110f0dc71ad71b4466ce92,1310.67,84
55d3daac7c404d59e51c2aa2f4dc5a23,1309.88,28
b561927807645834b59ef0d16ba55a24,1305.04,95
abcd2cb37d46c2c8fb1bf071c859fc5b,1304.52,51
cc5a78bbad32776dc4e3af205218368c,1304.17,38
42b729f859728f5079499127a9c2ef37,1299.96,131
99a54764c341d5dc80b4a8fac4eba3fb,1298.82,66
7b07b3c7487f0ea825fc6df75abd658b,1292.69,96
23d7c96d4a1160db1c726b248601b25a,1288.93,52
750303a20e9c56b2a6bc45cdce0b897d,1288.82,56
6973a06f484aacf400ece213dbf3d946,1287.87,108
376a891762bbdecbc02b4b6adec3fdda,1287.4,58
056b4ada5bbc2c50cc7842547dda6b51,1282.39,65
33a17d60c64393351ebf1ef860f4e0f2,1279.38,47
e8b4225284fbb02d16f200513f1f395d,1273.98,30
715bbd5ba4e6b74cb0d2f29eb45058b0,1272.58,64
0176f73cc1195f367f7b32db1e5b3aa8,1272.07,38
870d0118f7a9d85960f29ad89d5d989a,1270.83,61
67bf6941ba2f1fa1d02c375766bc3e53,1257.94,20
87b740daf17b5d1be335a64164ec6842,1254.94,11
aba1721a889e04decc910aa13b768ef4,1249.17,92
048c2757535328e0d7dac690ad3c0aae,1247.33,50
a3f0b55de503387383c7b1de3ad7f678,1229.34,26
709e16e2b25c7474d980076c6bfc4806,1226.96,80
d12c926d74ceff0a90a21184466ce161,1225.4,97
8b8cfc8305aa441e4239358c9f6f2485,1218.7,15
244c2f1bff6afe1f2eaf9bfe9b2aed38,1214.87,27
6d803cb79cc31c41c4c789a75933b3c7,1213.67,66
1838dd9b8977065acf51d95e0053ea7a,1212.79,65
96493fab2fbb13a14d0c0e8772eef5c3,1212.23,64
c72de06d72748d1a0dfb2125be43ba63,1211.18,22
f84fa566034f5e8e880a07ec624c56af,1210.42,100
57e632711dec9ec14ca7546769483e7e,1207.98,65
fa1a9dec3a9940c072684a46728bf1fc,1201.71,60
cb8bcce248bb1fb274ba762d8b971456,1200.09,67
59417c56835dd8e2e72f91f809cd4092,1198.77,18
232a6014e7b10cba61c6c2b2ea6bb4b0,1197.07,35
9674754b5a0cb32b638cec001178f799,1196.15,95
91f848e9f4be368f4318775aac733370,1193.88,70
891071be6ba827b591264c90c2ae8a63,1193.7,90
9646c3513289980f17226a2fc4720dbd,1187.83,76
062ce95fa2ad4dfaedfc79260130565f,1184.33,59
b372ee768ed69e46ca8cdbd267aa7a38,1183.84,69
0432ead42b6c8a0bdf68154add917fdf,1180,87
acce39e832338debb07b02385cde5967,1175.56,44
4e17c65a516f69d023a2ae78b84f28d6,1155.54,74
8e8a7ce9f2f970dc00e2acf6f6e199f6,1147.78,64
d05ae8f7a5bd1d2a690a44cd079e4e27,1141.65,80
e49c26c3edfa46d227d5121a6b6e4d37,1141.31,35
6fd52c528dcb38be2eea044946b811f8,1138.56,84
cce6ab8d1682639fe45ab70234f1665f,1136.89,64
c6bda72e4dbf5c5866b13cb1810c6d03,1136.74,59
fdb9095204a334cd8872252ffec6f2db,1133.37,61
7202e2ba20579a9bd1acb29e61fe71f6,1131.51,53
4c18691b6037662be2df78a765d98ab5,1120.99,67
1bb2bdb95f4841f1bba2c0d2cd83d3c9,1118.17,83
3b872fd4747f01cc56206f2934198618,1116.37,27
afe0067131b73e40875c9b6c10bd2e21,1111.09,45
5f2684dab12e59f83bef73ae57724e45,1109.75,73
d66c305afaec317ebee552073a674429,1108.91,44
a888faf2d1baececa6baf9c3d603ee1f,1107.95,54
f7ccf836d21b2fb1de37564105216cc1,1107.94,73
a2e874074c877c5a05abae80ad6e488f,1105.34,42
f181738b150df1f37cb0bd72e705b193,1103.05,37
99002261c568a84cce14d43fcffb43ea,1100.33,36
a420f60ff1aa9acc80d0e42959f2b313,1099.97,69
f3da5b2ff499efb8d4a6d371d175d7dd,1099.7,82
0bf0150d5b9d60d9cd2906003332f085,1097.74,62
318f287a62ab7ac10b703ac37435a231,1097.04,61
08cdbae123ff67ca4e36d9d641ce0119,1096.47,6
a17f621c590ea0fab3d5d883e1630ec6,1094.35,78
c847e075301870dd144a116762eaff9a,1092.68,42
dd533b429f380718b70ad9922c294bae,1091.3,43
30a2f535bb48308f991d0b9ad4a8c4bb,1084.06,87
903037660cf848a717166eb7a06d616e,1083.99,59
9add47bf45ce8e8c7db6b9cf670b1e09,1082.76,43
99eaacc9e6046db1c82b163c5f84869f,1081.66,67
257e61d3251fb5efb9daadddbc2cf7ca,1077.18,12
d379f449f2a3b271bc01c0782020f705,1076.74,29
4917cee8d902e13428c3ec4b1ca6f315,1074.44,31
58f1a6197ed863543e0136bdedb3fce2,1070.69,45
4bfc7a4a1cf8d4d2121c27422d9e50b5,1067.19,40
8f119a0aee85c0c8fc534629734e94fd,1067.01,81
520b493b57809f446cb0a233bb3e25c7,1063.97,73
5b925e1d006e9476d738aa200751b73b,1053.34,63
5b8154610ebb21fb90eb587365e673df,1048.67,40
aced59e9b31ef866a94f9e7f29d8d418,1047.3,67
080199a181c46c657dc5aa235411be3b,1040.68,83
1a932caad4f9d804097d7f8e615baed1,1040.45,30
1eade46fba20122dc4aefb379f8c636b,1038.34,75
b39d7fe263ef469605dbb32608aee0af,1037.03,48
7dc8c42cc750eeafea6c85712ffee9bf,1035.41,50
e62b2d6ac10570a035a30bafcf01d263,1035.08,71
0ef83d7d83ed97cd2a0049ac8be5f88a,1026.8,55
b94cc9f10ddc85e4ba73a6f7974e7101,1022.39,39
2a5b78b41cd05baeac8df54c6606b92c,1021.19,56
751bdc4d83a466c7206cd42e8f426b03,1020.02,68
6481e96574816ead57975da2c0f6d80d,1015.96,43
cfa5ab0e4d3fc212fd0b3410e7081c62,1015.48,20
e24fc9fcd865784fb25705606fe3dfe7,1012.71,55
fd386aa7bed2af3c7035c65506c9b4a3,1012.02,76
f97e2b0650c2068227e1d366140eb62f,1011.98,21
e067ad2c1c0b48758eb1b5228bcf7a68,1005.36,61
3bdff180c7e1f6551a643b99c265a120,1003.88,58
b19f3ca2ea475913750f25a5c37c8d8f,1002.49,19
6c177e38df6d3f34182b1f1d427231bf,1002.16,54
2bf6a2c1e71bbd29a4ad64e6d3c3629f,1000.59,31
fde0cc9ea29c8ccfc0a2c22256a58c71,999.27,35
381c83fdca332ea6afd896da20bf6e4a,999.21,46
73a63f72308aa20a46f4b1632018f196,997.3,35
5f1dc28029d2c244352a68107ec2b542,996.16,78
4992e76a42cb3aad7a7047e0d3d7e729,992.36,73
082e0bf4cb865a6533b1e8e498cc0255,991.03,23
bd4889b5e9133b35b66e42a8665cea5c,984.64,42
34d1ca11b242c0fee2c834ae8d788566,982.04,41
