seller_id,TotalOrders,CanceledOrders,ReturnRate_Percentage
dff87e4de60c9736ce8df835951b09bc,2,1,50
e3e15e2c0b9700561efac21c6be48066,4,2,50
ed49da7cadefc454d6a67de249eab240,2,1,50
fc5a0d7a310a7a41abf86a458585ff2b,2,1,50
60ad151920c4f6f3ebbe8cfdf6166779,2,1,50
5a32c398a06c345440bf2a683b017ad3,2,1,50
491a5ada3aa1678414e990262c4bbdc1,2,1,50
0aa124728afc1131dff5655f4c6f487b,2,1,50
1352e06ae67b410cdae0b2a22361167b,4,2,50
02a2272692e13558373c66db98f05e2e,2,1,50
c4b911d06343b21dd906651f8101cb49,2,1,50
cad9969167c09b48ae6f1d123f7fa68d,2,1,50
c004e5ea15737026cecaee0447e00b75,2,1,50
b7ba853e9551f4558440881fd3e5c815,2,1,50
7caa63f175b1cecbfaadd8b5ab9998c7,2,1,50
83d7070a0b9a8b4625fa8682b819fabb,2,1,50
76d336555bb25f3165d2f0d6da719c40,2,1,50
9b1050e85becf3ae99c1cf4934c9bc5d,2,1,50
9f56a7a649097b166d8ed286ad86a15c,2,1,50
c4f7fee5b0db50e87766f5a4d1b1b758,9,4,44.44
a4b6b9b992b46e9ef863637af96e04bc,14,6,42.86
81783131d2a97c8d44d406a4be81b5d9,15,6,40
6ee85be3693ed79a8e80718743d80655,13,5,38.46
725af026f869236a8dd0ceb98564d156,8,3,37.5
f1c1ac3f3efc07e659c035008e615e66,14,5,35.71
f235413f677777a0738ff215d0184901,3,1,33.33
f7df46c1e0ec44eed5c6726478da4a17,3,1,33.33
eddd1991bd6d9309995a480c39b95137,3,1,33.33
ea1776927851da2532aa70d6a32c095a,3,1,33.33
ec21206b7894c503788a684a7bc822a6,3,1,33.33
d65f31d2413268e671989503f6cf9993,3,1,33.33
e5bd51692380fd8cabb19b756b95e714,3,1,33.33
782f78b632a43875dd5b53e3e49c9564,3,1,33.33
87f3e35268860433e13d577825aada95,3,1,33.33
92c8bc6e8f925792247656fed09aad65,3,1,33.33
ad8b531ae67582f096925cff5630d0d1,3,1,33.33
b98b715fe9e276204e2a3464f48cd796,6,2,33.33
c161d1327ebc3a156c09582ab2f59f6c,3,1,33.33
340636a908b13bbe0f4fb63fbe1d0c03,6,2,33.33
4e8dacf3d38f281ae26c3e0321d92d88,15,5,33.33
4dbd95a08b31ede5c82d3f861cb1ce1a,6,2,33.33
44f091b5abab8018f682fce8124b85e5,6,2,33.33
67e43d802fde8cfd3f9580124f8167d1,3,1,33.33
312ba1d77e9c332ef21f9598b7f64cd7,10,3,30
ab3e0c171fe84a7ba7de130f19cfb485,10,3,30
ac51cac5e20d69ff485a54746488ef48,4,1,25
d73cbd89533ce8b041a9190241453ac8,4,1,25
961dff0a659b4561334372337dd897d9,4,1,25
1ca4bdb0cd7fc48e949bac066188ed26,4,1,25
1961c3e1272bfeceb05d0b78b5bbfdaf,4,1,25
ec2e006556300a79a5a91e4876ab3a56,8,2,25
eebb3372362aa9a46975164bed19a7e7,8,2,25
f650a9708fa1bab22bdd8d3a818cc415,5,1,20
ffff564a4f9085cd26170f4732393726,20,4,20
6c1b6d0c604b776f844125f911eb7377,5,1,20
818d28f936e791926d33bcb6ee94ef79,5,1,20
ab9db4cf53b08b828b64dccaafc2d9f0,5,1,20
b45d7ebfb7378630f1bcd74b6ff86ff7,5,1,20
7bcd7c5f8631701474db233ccf1c094b,11,2,18.18
20b54c376b794ed028df09a3cd88e8dc,11,2,18.18
ea6b12bf9ffe2bac34602ec631d97a47,11,2,18.18
ec4608a1f76453166bb312b2968aeaf4,35,6,17.14
3a3e46d10f74d8a6ca76e2b538f106a0,6,1,16.67
3a4127e1ba7208ea37044c5092aae170,6,1,16.67
8fff28c4263ddec387f28d237fb42773,6,1,16.67
b7cc6c5e001441ae8cdd5c69a480cbe4,6,1,16.67
2e3be8a987a30d7544dbbda6861cc14e,19,3,15.79
e627629ba868740e287800f1a9be81c2,13,2,15.38
4c8b8048e33af2bf94f2eb547746a916,27,4,14.81
385799a1cddbd26dfeb9157356a42282,7,1,14.29
6cf476a4ca74498db55cbccdaa9dcfb6,7,1,14.29
25debeafbce801fdd479539350185eee,7,1,14.29
0307f7565ff85b299b6e5ef162b1b1a9,7,1,14.29
ad87df7699e83b8a91822a4a0b765c3a,7,1,14.29
c3fe93ba3085f92855c97e57f38c8c05,7,1,14.29
80f2cf9abf6b5a0e5c612b5eea6646e6,7,1,14.29
e439f7176d763f92de325271111b2fd5,7,1,14.29
71271995e85f5b8530be99ed54a91b89,8,1,12.5
73b8eb4a9a729d4019b24ed1be748cbf,8,1,12.5
c79151301b9d90985d1fa52879213105,8,1,12.5
87e24fc7052259b1f7f607d61c10d8be,8,1,12.5
ac6417315ae5da8f9a38ee11de6f7780,8,1,12.5
a2deecd5398f5df4987110c80a1972a3,16,2,12.5
2c3d56f92f360fb89d849b84e8f50eae,8,1,12.5
73a63f72308aa20a46f4b1632018f196,41,5,12.2
a36ac007a4d18f865c8d32c3b2402c2d,9,1,11.11
b1b3948701c5c72445495bd161b83a4c,18,2,11.11
c33a5c3c983090c8b78a28e65052a20d,9,1,11.11
10ff823eda2b032e2c93d17a7d294736,9,1,11.11
538caafddff204241cecbf3a02e6b3cf,9,1,11.11
ff4ea69c2a729e83e63c7579e4ef8170,9,1,11.11
04fdea0c111866e6cf812f1570d6b5bd,10,1,10
2fdde51ad3e12f297da656d4fbd5d0b5,10,1,10
973f21788dfab357250f69a8dcb7ddee,21,2,9.52
8bdd8e3fd58bafa48af76b2c5fd71974,11,1,9.09
508808d438fe2ff972ed13bb8f4a82e2,11,1,9.09
e603cf3fec55f8697c9059638d6c8eb5,11,1,9.09
2f09f7d37a97956d11cc1a7cadd5262b,12,1,8.33
c7fdb77fdbff3c41981bc52f787e959e,12,1,8.33
bc47d5d1490df2b36add65d733eafaba,25,2,8
87b740daf17b5d1be335a64164ec6842,13,1,7.69
5b581417df4480f632484ba681e53944,13,1,7.69
557f22c76691849db52d2abccf0015d0,14,1,7.14
54065e9aef7e9e9c2dc23b7594db021a,14,1,7.14
bacb1f0ed56ad24198f5810d2b3fe9a5,42,3,7.14
c9a06ece156bb057372c68718ec8909b,14,1,7.14
c84592044b180dec206770c38603814b,15,1,6.67
38e679b9e0064cd94c6f035707344dae,30,2,6.67
128f9bfbe4c7d5185033914b1de3d39a,16,1,6.25
9a84ba99f5367fdbd4598363496f1ea2,16,1,6.25
4917cee8d902e13428c3ec4b1ca6f315,33,2,6.06
c1ed9e3daf6154542826a6996af0fb8c,17,1,5.88
fe49ee029e61e789a1f3a5525f57ba8d,17,1,5.88
2b1a40c1daabc6ca280c4b815c101841,35,2,5.71
23d7c96d4a1160db1c726b248601b25a,55,3,5.45
1b8b75e227c9a9c100d0c210fb6176ce,19,1,5.26
a425f92c199eb576938df686728acd20,19,1,5.26
e7f3bf1ecd8526eb7f3b18059e6716e5,19,1,5.26
ecccfa2bb93b34a3bf033cc5d1dcdc69,19,1,5.26
4a3ccda38b2129705f3fb522db62ca31,78,4,5.13
392e0502231ae2f8b29994ef6398cd77,20,1,5
270297ead4c65a6cd2593960d2af6b21,20,1,5
f4c4daa86e30c7e5a553a8d518ac03a5,20,1,5
0adac9fbd9a2b63cccaac4f8756c1ca8,142,7,4.93
cfa5ab0e4d3fc212fd0b3410e7081c62,21,1,4.76
5011f0d93373a4c5753adf58ca77af8d,22,1,4.55
718539d38d07dd351c76db862760e2e2,45,2,4.44
5075aaa8404020ae6aa8bf4792099b41,23,1,4.35
2a61c271b1ac763450d846849783e922,23,1,4.35
2e1a7d075abe038c1b2743005fe42ff1,23,1,4.35
3d5d0dc7073a299e31fa718ce1bc00b6,24,1,4.17
784ba75dd9d20200c4caed3d7a77141a,24,1,4.17
82bd0703a4aefd6b599e5bfdaed378fb,24,1,4.17
b19f3ca2ea475913750f25a5c37c8d8f,24,1,4.17
f615fe7efbef0f4f08fd3086bc7a3e60,24,1,4.17
39d54ff918774174706fb065d7f9dc07,25,1,4
8a32e327fe2c1b3511609d81aaf9f042,180,7,3.89
8444e55c1f13cd5c179851e5ca5ebd00,109,4,3.67
916c9de0b5ad957346eeeb12f332687e,28,1,3.57
994f04b3718c2bab35c2adfa8afecd2a,57,2,3.51
b17b679f4f5ce2e03ce6968c62648246,57,2,3.51
6973a06f484aacf400ece213dbf3d946,115,4,3.48
821fb029fc6e495ca4f08a35d51e53a5,29,1,3.45
f12ff17ad8bbf01ec5c33b17e506649b,29,1,3.45
e5e33c0d8e7e002f398f5dc4cbbb338f,29,1,3.45
e6a69c4a27dfdd98ffe5aa757ad744bc,29,1,3.45
4aba391bc3b88717ce08eb11e44937b2,30,1,3.33
45d33f715e24d15a6ccf5c17b3a23e3c,61,2,3.28
66e0557ecc2b4dbea057e93f215f68d8,31,1,3.23
3078096983cf766a32a06257648502d1,64,2,3.13
1127b7f2594683f2510f1c2c834a486b,132,4,3.03
6a51fc556dab5f766ced6fbc860bc613,33,1,3.03
850913d59ce317156b00f3705f1c3edb,34,1,2.94
b335c59ab742f751a85db9c411a86739,35,1,2.86
751bdc4d83a466c7206cd42e8f426b03,71,2,2.82
e49c26c3edfa46d227d5121a6b6e4d37,36,1,2.78
a416b6a846a11724393025641d4edd5e,181,5,2.76
3fd1e727ba94cfe122d165e176ce7967,38,1,2.63
5160d23075764e18e07c1f4a87fad743,39,1,2.56
9646c3513289980f17226a2fc4720dbd,78,2,2.56
a17f621c590ea0fab3d5d883e1630ec6,80,2,2.5
42bde9fef835393bb8a8849cb6b7f245,40,1,2.5
272f092de69afedd4d2969440b37f18f,40,1,2.5
f5a590cf36251cf1162ea35bef76fe84,122,3,2.46
e2aee0892199b1d92530e371abd825bf,41,1,2.44
0cbcee27c791afa0cdcb08587a2013a8,41,1,2.44
45ba18c210d42734ec52c0c1c574e9ee,41,1,2.44
5b8154610ebb21fb90eb587365e673df,41,1,2.44
d1b65fc7debc3361ea86b5f14c68d2e2,41,1,2.44
c847e075301870dd144a116762eaff9a,43,1,2.33
75fbb52eda0cbc24f479d3b2fbfa8d3e,43,1,2.33
ad781527c93d00d89a11eecd9dcad7c1,44,1,2.27
2089a6d640999f9b9141ac719b2af596,44,1,2.27
0432ead42b6c8a0bdf68154add917fdf,90,2,2.22
9add47bf45ce8e8c7db6b9cf670b1e09,45,1,2.22
a2e874074c877c5a05abae80ad6e488f,46,1,2.17
afe0067131b73e40875c9b6c10bd2e21,46,1,2.17
d66c305afaec317ebee552073a674429,47,1,2.13
9674754b5a0cb32b638cec001178f799,97,2,2.06
835f0f7810c76831d6c7d24c7a646d4d,50,1,2
ede0c03645598cdfc63ca8237acbe73d,50,1,2
dc8798cbf453b7e0f98745e396cc5616,51,1,1.96
9b00ed88b7fdb95d6ff76e27c1b52d16,51,1,1.96
c3867b4666c7d76867627c2f7fb22e21,259,5,1.93
cb3dd9ce66268c7a3ca7241ac70ab58c,52,1,1.92
cd06602b43d8800bd0afad514919d35c,53,1,1.89
855668e0971d4dfd7bef1b6a4133b41b,327,6,1.83
2a1348e9addc1af5aaa619b1a3679d6b,55,1,1.82
2a84855fd20af891be03bc5924d2b453,168,3,1.79
dd2bdf855a9172734fbc3744021ae9b9,113,2,1.77
7040e82f899a04d1b434b795a43b4617,228,4,1.75
8e6cc767478edae941d9bd9eb778d77a,114,2,1.75
432c37c9dfba871172ec162e20118b8c,57,1,1.75
0be8ff43f22e456b4e0371b2245e4d01,180,3,1.67
fffd5413c0700ac820c7069d66d98c89,61,1,1.64
ce248b21cb2adc36282ede306b7660e5,66,1,1.52
cce6ab8d1682639fe45ab70234f1665f,66,1,1.52
95f83f51203c626648c875dd41874c7f,67,1,1.49
99eaacc9e6046db1c82b163c5f84869f,70,1,1.43
75d34ebb1bd0bd7dde40dd507b8169c3,72,1,1.39
7a241947449cc45dbfda4f9d0798d9d0,72,1,1.39
a673821011d0cec28146ea42f5ab767f,146,2,1.37
4830e40640734fc1c52cd21127c341d4,219,3,1.37
fcb5ace8bcc92f75707dc0f01a27d269,73,1,1.37
5f2684dab12e59f83bef73ae57724e45,74,1,1.35
18a349e75d307f4b4cc646a691ed4216,148,2,1.35
f457c46070d02cadd8a68551231220dd,234,3,1.28
b6d44737c043328708f6749c2dbe50bd,80,1,1.25
82e0a475a88cc9595229d8029273f045,80,1,1.25
d05ae8f7a5bd1d2a690a44cd079e4e27,81,1,1.23
8f119a0aee85c0c8fc534629734e94fd,83,1,1.2
7e93a43ef30c4f03f38b393420bc753a,340,4,1.18
7e1fb0a3ebfb01ffb3a7dae98bf3238d,174,2,1.15
0df3984f9dfb3d49ac6366acbd3bbb85,89,1,1.12
bd23da7354813347129d751591d1a6e2,90,1,1.11
b2ba3715d723d245138f291a6fe42594,363,4,1.1
48162d548f5b1b11b9d29d1e01f75a61,91,1,1.1
440dd6ab244315c632130ecfb63827b1,95,1,1.05
2ff97219cb8622eaf3cd89b7d9c09824,96,1,1.04
7b07b3c7487f0ea825fc6df75abd658b,98,1,1.02
891071be6ba827b591264c90c2ae8a63,98,1,1.02
ceaec5548eefc6e23e6607c5435102e7,211,2,0.95
d20b021d3efdf267a402c402a48ea64b,106,1,0.94
dbc22125167c298ef99da25668e1011f,429,4,0.93
2138ccb85b11a4ec1e37afbd1c8eda1f,429,4,0.93
5343d0649eca2a983820bfe93fc4d17e,111,1,0.9
4371b634e0efc0e22b09b52907d9d469,112,1,0.89
620c87c171fb2a6dd6e8bb4dec959fc6,798,7,0.88
41b39e28db005d9731d9d485a83b4c38,231,2,0.87
25e6ffe976bd75618accfe16cefcbd0d,117,1,0.85
6c7d50c24b3ccd2fd83b44d8bb34e073,128,1,0.78
f80edd2c5aaa505cc4b0a3b219abf4b8,128,1,0.78
cd68562d3f44870c08922d380acae552,132,1,0.76
b2479f944e1b90cf8a5de1bbfde284d6,131,1,0.76
17e34d8224d27a541263c4c64b11a56b,268,2,0.75
12b9676b00f60f3b700e83af21824c0e,135,1,0.74
562fc2f2c2863ab7e79a9e4388a58a14,270,2,0.74
ca3bd7cd9f149df75950150d010fe4a2,138,1,0.72
8581055ce74af1daba164fdbd55a40de,435,3,0.69
8b28d096634035667e8263d57ba3368c,155,1,0.65
36a968b544695394e4e9d7572688598f,162,1,0.62
2528513dd95219a6013d4d05176e391a,167,1,0.6
2e1c9f22be269ef4643f826c9e650a52,173,1,0.58
7ddcbb64b5bc1ef36ca8c151f6ec77df,343,2,0.58
5a8e7d5003a1f221f9e1d6e411de7c23,181,1,0.55
46dc3b2cc0980fb8ec44634e21d2718e,542,3,0.55
de23c3b98a88888289c6f5cc1209054a,181,1,0.55
669ae81880e08f269a64487cfb287169,186,1,0.54
cfb1a033743668a192316f3c6d1d2671,184,1,0.54
cc419e0650a3c5ba77189a1882b7556a,1775,9,0.51
9c0e69c7bf2619675bbadf47b43f655a,206,1,0.49
86ccac0b835037332a596a33b6949ee1,210,1,0.48
f262cbc1c910c83959f849465454ddd3,207,1,0.48
897060da8b9a21f655304d50fd935913,430,2,0.47
218d46b86c1881d022bce9c68a7d4b15,427,2,0.47
6edacfd9f9074789dad6d62ba7950b9c,219,1,0.46
e26901d5ab434ce92fd9b5c256820a4e,221,1,0.45
8d956fec2e4337affcb520f56fd8cbfd,228,1,0.44
a1043bafd471dff536d0c462352beb48,770,3,0.39
6560211a19b47992c3666cc44a7e94c0,2033,8,0.39
e5a3438891c0bfdb9394643f95273d8e,255,1,0.39
53e4c6e0f4312d4d2107a8c9cddf45cd,522,2,0.38
e9bc59e7b60fc3063eb2290deda4cced,269,1,0.37
3d871de0142ce09b7081e2b9d1733cb1,1147,4,0.35
88460e8ebdecbfecb5f9601833981930,302,1,0.33
634964b17796e64304cadf1ad3050fb7,326,1,0.31
1da3aeb70d7989d1e6d9b0e887f97c23,328,1,0.3
5dceca129747e92ff8ef7a997dc4f8ca,346,1,0.29
ef506c96320abeedfb894c34db06f478,340,1,0.29
fa40cc5b934574b62717c68f3d678b6d,340,1,0.29
7299e27ed73d2ad986de7f7c77d919fa,361,1,0.28
77530e9772f57a62c906e1c21538ab82,389,1,0.26
4d6d651bd7684af3fffabd5f08d12e5a,395,1,0.25
85d9eb9ddc5d00ca9336a2219c97bb13,522,1,0.19
fa1c13f2614d7b5c4749cbc52fecda94,586,1,0.17
d2374cbcbb3ca4ab1086534108cc3ab7,631,1,0.16
f8db351d8c4c4c22c6835c19a46f01b0,724,1,0.14
e9779976487b77c6d4ac45f75ec7afe9,750,1,0.13
cca3071e3e9bb7d12640c9fbe2301306,830,1,0.12
4a3ca9315b744ce9f8e9374361493884,1987,2,0.1
4869f7a5dfa277a7dca6462dcf3b52b2,1156,1,0.09
7a67c85e85bb2ce8582c35f2203ad736,1171,1,0.09
ea8482cd71df3c1969d7b9473ff13abc,1203,1,0.08
955fee9216a65b617aa5c0531780ce60,1499,1,0.07
1f50f920176fa81dab994f9023523100,1931,1,0.05
1f7dfad2cb384ea4d2d7e1ffbd78c407,1,NULL,NULL
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,3,NULL,NULL
1f867308a0ce13133a4e639ff4de0c02,13,NULL,NULL
1f9ab4708f3056ede07124aad39a2554,79,NULL,NULL
1fa2d3def6adfa70e58c276bb64fe5bb,1,NULL,NULL
1fbe10c70e30765ed1de86d9f7e98409,6,NULL,NULL
1fdc574883ef3b33ad41562d93f3a74a,18,NULL,NULL
1fe5540d7c1c37a595fefbacd5570d9e,25,NULL,NULL
1fe61aa5494bd3ae92a2c13e067c810f,2,NULL,NULL
2009a095de2a2a41626f6c6d7722678d,12,NULL,NULL
2039c5e51785b5dde7cf93ccb3b7be2c,1,NULL,NULL
204b4e07bddef3c9b317f70189135b22,1,NULL,NULL
2059c39f76271d4ca3f15b5ffaccc8b8,12,NULL,NULL
20611af7866c6068fd5ae1f9dbe15c92,2,NULL,NULL
2063dd1b9f568df1c16741ea7d3e6adb,3,NULL,NULL
2075d8cd4dd63ff12df0749a5866bb06,3,NULL,NULL
218f991754f360af9c2daa5e0b8e990c,17,NULL,NULL
2199e7fe213c16213bf5d6a7eadc9a5d,31,NULL,NULL
21c62b998a043ebe31161d38f84929fc,4,NULL,NULL
21d59342ba150175ca2aa4f8faddeca6,2,NULL,NULL
21e83881401b92b49fb09a16d3852291,15,NULL,NULL
2235cf78d3e2073a88146a9cb60f0dd0,1,NULL,NULL
226b05fe067266c59c15dae208213d06,11,NULL,NULL
228e4c1a0be164f613d41c24345f9d2c,5,NULL,NULL
229c3efbfb0ea2058de4ccdfbc3d784a,148,NULL,NULL
22a23e5ac7061fc538cc2a019afaaf16,1,NULL,NULL
22c32ec35d0116ef02c281798a25bf8b,6,NULL,NULL
2305ab43e846518f58dd9d59f3f54e96,3,NULL,NULL
232a6014e7b10cba61c6c2b2ea6bb4b0,36,NULL,NULL
23613d49c3ac2bd302259e55c06c050c,80,NULL,NULL
236585a4ddb5fea9fa40233e2249ed91,11,NULL,NULL
2379bdc3888025689a9deb7b141507d5,9,NULL,NULL
238fac594e170b59c6d228f5a4f4f1d9,30,NULL,NULL
23a0ffca143a15b9b5bbdb7d552f626a,24,NULL,NULL
23c38debaffe4a25a30fdbd9b586a13f,46,NULL,NULL
23ca5f678e0b3ea6c630b30fa8bf51ea,7,NULL,NULL
1dc2de47ee26a0a5b12dc14fd6dc0dea,27,NULL,NULL
1dcfa3835714681d4ba4a93bc1e0fd41,15,NULL,NULL
1dd33b8119b3cb1056ed5dc88cd0aaf4,8,NULL,NULL
1de62b6f2fd96227629786db492433db,2,NULL,NULL
1dfe5347016252a7884b694d4f10f5c4,27,NULL,NULL
1e26c56af8d48424e1df0140a2401f83,2,NULL,NULL
1e47d8b6546eb3a77b1acddcc9406242,1,NULL,NULL
1e47defeeadeca0e9a18fa5a9311e735,3,NULL,NULL
1e483cc5c76fef08d3ca05f9a8af7d01,11,NULL,NULL
1e8b33f18b4f7598d87f5cbee2282cc2,140,NULL,NULL
1e8c6a4c538f286aee9573239740a4b4,5,NULL,NULL
1e9d5a33694bddb76316fd1f54734d20,2,NULL,NULL
1eade46fba20122dc4aefb379f8c636b,75,NULL,NULL
1f1bb1f0859883505541bdd6606193e5,29,NULL,NULL
1f2eebc0e970fd3c463e4f5d9652687a,1,NULL,NULL
1ca7077d890b907f89be8c954a02686a,137,NULL,NULL
1caf283236cd69af44cbc09a0a1e7d32,37,NULL,NULL
1cbcd2ee0afb3fc09963b87eb65e7e4f,3,NULL,NULL
1cbd32d00d01bb8087a5eb088612fd9c,12,NULL,NULL
1cbd50a8c52e6cf8e315c5709fab386f,9,NULL,NULL
1cbdc7cf130a41fd13a3c2a7d2fcfda7,2,NULL,NULL
1cd9e0cc1839d55516843def5600816d,5,NULL,NULL
1ce3ae5a399804d1a87e706f8a813c3e,44,NULL,NULL
1d0646a72178a6fb37ee8082140e06ec,2,NULL,NULL
1d0997ff06b524ce9289ffd75114ecd3,3,NULL,NULL
1d139e3a3b14025640d8df1b230aace0,2,NULL,NULL
1d1bbb8ac1581824986f582583fff01d,4,NULL,NULL
1d2732ef8321502ee8488e8bed1ab8cd,5,NULL,NULL
1d29dfba02015238dfbe2449a5eaa361,12,NULL,NULL
1d4587203296c8f4ad134dc286fa6db0,43,NULL,NULL
1d503743d2526f03f0c2c89540ee008c,17,NULL,NULL
1d8dbc4f32378d715c717c1c1fc57bae,98,NULL,NULL
1d953075c2f0dd990bacf27b83b330f1,1,NULL,NULL
1da366cade6d8276e7d8beea7af5d4bf,49,NULL,NULL
2528744c5ef5d955adc318720a94d2e7,5,NULL,NULL
252e76235acb79183cfca6e34f13337d,4,NULL,NULL
253c025bab43881055aeecde5e2d8b77,2,NULL,NULL
253f95b3a0e6983ae18aed49fbc2b845,5,NULL,NULL
257e61d3251fb5efb9daadddbc2cf7ca,12,NULL,NULL
258447aad3f7b01e2643c89f64dc5647,1,NULL,NULL
259f7b5e6e482c230e5bfaa670b6bb8f,165,NULL,NULL
25be943a321c8938947bdaabca979a90,5,NULL,NULL
25c5c91f63607446a97b143d2d535d31,269,NULL,NULL
25cf099de44674fde97473224f9d59ab,50,NULL,NULL
213b25e6f54661939f11710a6fddb871,194,NULL,NULL
213fafb0ca06fb3d5886579c2565791b,3,NULL,NULL
2156f2671501a81034d7d07f217609d0,22,NULL,NULL
217f005bb37ff3aeef5b2ae1788e75ba,3,NULL,NULL
12a8eb0f8d1cd3270695bf2a99f55966,2,NULL,NULL
25e47381a6c510ddeb36084e33b89f0c,17,NULL,NULL
20a7efa9721046319bdde5d60b6b5365,6,NULL,NULL
20a8b0dc55da94fe74d112082427c84f,7,NULL,NULL
20cb7c2fde3e5bf10f0bbe7394e1c6a9,51,NULL,NULL
20d53aad4fe5ee93a64f8839609d3586,2,NULL,NULL
20d83f3ef0e6925fd74bfd59170babf7,54,NULL,NULL
20f0aeea30bc3b8c4420be8ced4226c0,1,NULL,NULL
20fd2d2080ed85fa67fad3fcbb2c1813,1,NULL,NULL
23ff42c4bf1f8f16cddb19d8b972974a,3,NULL,NULL
240b9776d844d37535668549a396af32,36,NULL,NULL
244b04680fdbded0acf5aebd9c92b44a,3,NULL,NULL
244c2f1bff6afe1f2eaf9bfe9b2aed38,27,NULL,NULL
247587846358bb1d2e4c6522020b36fe,1,NULL,NULL
2493dc3f20131696a0ecdb9948051a8d,4,NULL,NULL
249f0e9905a6e06ad6c6bea7547ab9f6,3,NULL,NULL
24a6daf925d9d591870a66660416de31,2,NULL,NULL
24c1de8d9551c0b4fbc53317d53efda8,1,NULL,NULL
262237171f48e85819065498cac80d7b,10,NULL,NULL
2646baaf662d4d92ac48f047e35db92d,18,NULL,NULL
26562f211dd1364af2a8596dc945e8ae,2,NULL,NULL
265fdc289dffa9f1ad801c74f7d0de47,1,NULL,NULL
26785a546900236d66f2e4197c211158,15,NULL,NULL
269c5fc9fcadee614364c3620c30a1f9,6,NULL,NULL
269cff2d3c8d205c11f37a52402ea93b,5,NULL,NULL
26af45f5dfd967225a832838aa4e24a3,11,NULL,NULL
26b482dccfa29bd2e40703ba45523702,4,NULL,NULL
26bad72add1f86e08a776ce4ffdaf1ca,7,NULL,NULL
26d6bbee02420494d471c9f6436929c0,13,NULL,NULL
26d8a1c7c75d513045798992ead43aa2,38,NULL,NULL
26e13b6ff5b641b329e5524241ee2c93,4,NULL,NULL
26e2c91ef821e1ff8985f408788fe35b,14,NULL,NULL
26e2e5033827d2ba53929f43e03d8ffe,1,NULL,NULL
26f6b7ab07be3e9e69ce82a6552efc19,2,NULL,NULL
27a56ff04b34c2ba34ce6ba4d3b9d616,8,NULL,NULL
282c7480173bb9c01dd41cc739fec010,8,NULL,NULL
282f23a9769b2690c5dda22e316f9941,110,NULL,NULL
28405831a29823802aa22c084cfd0649,7,NULL,NULL
28872dc528e978a639754bc8c2ce5a4c,1,NULL,NULL
289cdb325fb7e7f891c38608bf9e0962,126,NULL,NULL
28a26ebce31d5918b181ede016fd693b,1,NULL,NULL
28c7d8743fbc8679f484868cc0fcaefb,3,NULL,NULL
28d162ab86bb49d719c32f0ee6186eaa,1,NULL,NULL
28ea411b354f14b1a494be4e79f0ce02,6,NULL,NULL
28f10b1c5e5abb9d4857745bede6147c,28,NULL,NULL
28fb0829fd777877cdc350d25cb5bd5b,4,NULL,NULL
